E,E_N,cov,E_N_B,P1,P2,P1P2,P1_E,P2_E,P1P2_E,P1_N,P2_N,P1P2_N,row,col,sumDMY,ADF,ADL,DMDig,NDF,NDFD,Prot,WSC
11,111,1,1111,75,4,754,7511,411,75411,751,41,7541,1,1,1416.56808,24.31904176,1.912902877,87.22518341,44.73322511,71.956697,17.06459274,12.09411361
11,111,1,1111,9,27,927,911,2711,92711,91,271,9271,2,1,1405.204,24.71250033,2.004007277,87.68017765,44.69205392,71.69153673,16.49955784,11.81232202
11,111,1,1111,100,103,100103,10011,10311,10010311,1001,1031,1001031,3,1,1240.89296,23.65713754,1.924750832,87.97683237,43.60131741,72.8735853,17.11318624,12.50006105
11,111,1,1111,55,56,5556,5511,5611,555611,551,561,55561,4,1,1400.3904,23.90065039,1.927414657,87.5897812,43.99149553,72.08729137,17.50006314,11.41569478
11,111,1,1111,63,66,6366,6311,6611,636611,631,661,63661,5,1,1424.41584,24.31166408,2.000360935,87.05559748,44.51677656,71.52201566,16.40928992,12.66406147
11,111,1,1111,46,60,4660,4611,6011,466011,461,601,46601,6,1,1519.65024,23.46371451,1.952136582,87.19659864,43.95890497,72.12668438,17.34120253,12.51887648
11,111,1,1111,88,16,8816,8811,1611,881611,881,161,88161,7,1,1525.13984,24.59660582,1.999664098,86.58825033,44.84034508,70.34850483,17.11700424,11.61690698
11,111,1,1111,17,88,1788,1711,8811,178811,171,881,17881,8,1,1352.58904,24.79547626,2.050633872,86.67092285,44.66964836,70.5961516,17.47351303,13.16323921
11,111,4,1112,20,37,2037,2011,3711,203711,201,371,20371,9,1,1542.11456,23.72540911,1.973561579,86.96232637,45.66444539,71.37313896,16.22807303,11.86333309
11,111,4,1112,34,86,3486,3411,8611,348611,341,861,34861,10,1,1689.51784,24.33820913,2.142185319,85.75958129,47.12567612,70.14860153,15.91303027,9.996935299
11,111,4,1112,64,8,648,6411,811,64811,641,81,6481,11,1,1519.45008,22.08272795,2.129549595,86.30811149,45.22372165,70.09587763,14.93748098,11.1845252
11,111,4,1112,43,78,4378,4311,7811,437811,431,781,43781,12,1,1633.96864,24.26036524,1.859926756,87.72713774,44.81454228,72.28391798,15.76516311,13.3398518
11,111,4,1112,70,11,7011,7011,1111,701111,701,111,70111,13,1,1602.78768,23.74160231,1.832702667,87.07105066,44.69645923,71.95628655,15.93499358,12.35116023
11,111,4,1112,73,56,7356,7311,5611,735611,731,561,73561,14,1,1585.24016,23.02669382,1.768935991,87.66860595,43.9795498,72.86817664,15.94106732,12.46578401
11,111,4,1112,93,94,9394,9311,9411,939411,931,941,93941,15,1,1550.26672,24.1486273,1.891569073,87.68842111,44.48932374,72.81240638,16.41532453,13.10356492
11,111,5,1112,20,26,2026,2011,2611,202611,201,261,20261,16,1,1711.26656,24.21373442,2.152795474,85.55851686,45.41716513,69.35151758,15.08469452,13.69667999
11,111,5,1113,55,45,5545,5511,4511,554511,551,451,55451,17,1,1525.88944,23.99499124,2.001111865,86.69773852,44.88877181,71.37620916,15.50387342,12.45152044
11,111,5,1113,21,81,2181,2111,8111,218111,211,811,21811,18,1,1674.81968,24.00498039,1.994712206,86.65075954,43.79106072,71.2422097,14.82807175,15.54334322
11,111,5,1113,35,37,3537,3511,3711,353711,351,371,35371,19,1,1507.06816,24.65405969,2.036115132,85.87322475,44.79231648,70.56669181,15.21104303,14.00670993
11,111,5,1113,18,47,1847,1811,4711,184711,181,471,18471,20,1,1698.21624,24.49672898,2.034342286,86.5999383,43.4168449,71.31834358,14.91926925,14.73248102
11,111,5,1113,17,6,176,1711,611,17611,171,61,1761,21,1,1607.6472,23.8373257,1.957244133,87.84803032,43.32538966,73.04621339,15.28948517,15.48640805
11,111,5,1113,91,103,91103,9111,10311,9110311,911,1031,911031,22,1,1552.51744,24.39259371,2.061480884,86.7454702,44.35666218,70.05804994,15.59813822,16.37659091
11,111,5,1113,90,92,9092,9011,9211,909211,901,921,90921,23,1,1905.6232,25.83957529,2.2624243,85.34766389,46.12171365,69.25608457,14.9874346,15.33921718
11,111,5,1113,24,15,2415,2411,1511,241511,241,151,24151,24,1,1730.1736,23.13897316,1.977421351,87.41111525,42.77331651,72.38422013,14.47754803,15.67563393
11,111,5,1114,2,23,223,211,2311,22311,21,231,2231,25,1,1709.52096,25.91243255,2.135402224,84.91778094,46.14452291,67.6391566,14.47105172,13.26027083
11,111,5,1114,57,73,5773,5711,7311,577311,571,731,57731,26,1,1602.3808,24.93364123,2.042884026,86.79332427,44.53290435,70.40844121,14.5771031,15.87249262
11,111,5,1114,71,73,7173,7111,7311,717311,711,731,71731,27,1,1745.26704,24.42037914,1.949492955,87.45561836,43.55781587,71.37960207,14.22377946,16.83895873
11,111,5,1114,69,10,6910,6911,1011,691011,691,101,69101,28,1,1497.85,25.47980807,2.054803265,86.72659179,45.423261,71.05675299,14.41066536,15.785123
